date,PHU,ageGrp,population,doses
2021-07-27,HURON PERTH,60-69yrs,19835,259
2021-07-27,KINGSTON FRONTENAC LENNOX & ADDINGTON,60-69yrs,28261,127
2021-07-27,LAMBTON COUNTY,60-69yrs,20502,200
2021-07-27,LEEDS GRENVILLE AND LANARK DISTRICT,60-69yrs,28428,136
2021-07-27,MIDDLESEX-LONDON,60-69yrs,60813,322
2021-07-27,NIAGARA REGION,60-69yrs,66878,436
2021-07-27,NORTH BAY PARRY SOUND DISTRICT,60-69yrs,20502,102
2021-07-27,NORTHWESTERN,60-69yrs,11530,35
2021-07-27,PEEL REGION,60-69yrs,167934,780
2021-07-27,PETERBOROUGH COUNTY-CITY,60-69yrs,22051,123
2021-07-27,PORCUPINE,60-69yrs,12077,21
2021-07-27,RENFREW COUNTY AND DISTRICT,60-69yrs,15644,21
2021-07-27,SIMCOE MUSKOKA DISTRICT,60-69yrs,79793,614
2021-07-27,SOUTHWESTERN,60-69yrs,27383,173
2021-07-27,SUDBURY AND DISTRICT,60-69yrs,28512,57
2021-07-27,THUNDER BAY DISTRICT,60-69yrs,22248,161
2021-07-27,TIMISKAMING,60-69yrs,5410,13
2021-07-27,TORONTO,60-69yrs,327676,1517
2021-07-27,WATERLOO REGION,60-69yrs,64550,417
2021-07-27,WELLINGTON-DUFFERIN-GUELPH,60-69yrs,37194,226
2021-07-27,WINDSOR-ESSEX COUNTY,60-69yrs,54082,161
2021-07-27,YORK REGION,60-69yrs,143847,604
2021-07-27,ALGOMA DISTRICT,70-79yrs,12699,10
2021-07-27,BRANT COUNTY,70-79yrs,12716,30
2021-07-27,CHATHAM-KENT,70-79yrs,10558,40
2021-07-27,CITY OF HAMILTON,70-79yrs,45295,276
2021-07-27,CITY OF OTTAWA,70-79yrs,75781,208
2021-07-27,DURHAM REGION,70-79yrs,50080,224
2021-07-27,EASTERN ONTARIO,70-79yrs,20776,149
2021-07-27,GREY BRUCE,70-79yrs,19403,41
2021-07-27,HALDIMAND-NORFOLK,70-79yrs,11809,13
2021-07-27,HALIBURTON KAWARTHA PINE RIDGE,70-79yrs,24747,134
2021-07-27,HALTON REGION,70-79yrs,43839,250
2021-07-27,HASTINGS & PRINCE EDWARD COUNTIES,70-79yrs,18608,183
2021-07-27,HURON PERTH,70-79yrs,13697,65
2021-07-27,KINGSTON FRONTENAC LENNOX & ADDINGTON,70-79yrs,19981,72
2021-07-27,LAMBTON COUNTY,70-79yrs,13758,81
2021-07-27,LEEDS GRENVILLE AND LANARK DISTRICT,70-79yrs,20048,99
2021-07-27,MIDDLESEX-LONDON,70-79yrs,40094,184
2021-07-27,NIAGARA REGION,70-79yrs,48175,341
2021-07-27,NORTH BAY PARRY SOUND DISTRICT,70-79yrs,14235,33
2021-07-27,NORTHWESTERN,70-79yrs,6718,17
2021-07-27,PEEL REGION,70-79yrs,102369,353
2021-07-27,PETERBOROUGH COUNTY-CITY,70-79yrs,15695,78
2021-07-27,PORCUPINE,70-79yrs,6754,25
2021-07-27,RENFREW COUNTY AND DISTRICT,70-79yrs,10814,8
2021-07-27,SIMCOE MUSKOKA DISTRICT,70-79yrs,54104,277
2021-07-27,SOUTHWESTERN,70-79yrs,18637,134
2021-07-27,SUDBURY AND DISTRICT,70-79yrs,18552,34
2021-07-27,THUNDER BAY DISTRICT,70-79yrs,13660,63
2021-07-27,TIMISKAMING,70-79yrs,3541,0
2021-07-27,TORONTO,70-79yrs,202795,1022
2021-07-27,WATERLOO REGION,70-79yrs,40380,268
2021-07-27,WELLINGTON-DUFFERIN-GUELPH,70-79yrs,23504,81
2021-07-27,WINDSOR-ESSEX COUNTY,70-79yrs,35970,65
2021-07-27,YORK REGION,70-79yrs,90111,285
2021-07-27,ALGOMA DISTRICT,80+,7929,7
2021-07-27,BRANT COUNTY,80+,7044,5
2021-07-27,CHATHAM-KENT,80+,6269,4
2021-07-27,CITY OF HAMILTON,80+,28319,76
2021-07-27,CITY OF OTTAWA,80+,42388,89
2021-07-27,DURHAM REGION,80+,26420,63
2021-07-27,EASTERN ONTARIO,80+,11219,42
2021-07-27,GREY BRUCE,80+,11147,13
2021-07-27,HALDIMAND-NORFOLK,80+,6382,3
2021-07-27,HALIBURTON KAWARTHA PINE RIDGE,80+,14112,21
2021-07-27,HALTON REGION,80+,25542,44
2021-07-27,HASTINGS & PRINCE EDWARD COUNTIES,80+,10614,58
2021-07-27,HURON PERTH,80+,8279,16
2021-07-27,KINGSTON FRONTENAC LENNOX & ADDINGTON,80+,11314,32
2021-07-27,LAMBTON COUNTY,80+,8068,17
2021-07-27,LEEDS GRENVILLE AND LANARK DISTRICT,80+,10669,40
2021-07-27,MIDDLESEX-LONDON,80+,23219,51
2021-07-27,NIAGARA REGION,80+,29120,106
2021-07-27,NORTH BAY PARRY SOUND DISTRICT,80+,7885,14
2021-07-27,NORTHWESTERN,80+,3618,4
2021-07-27,PEEL REGION,80+,50535,117
2021-07-27,PETERBOROUGH COUNTY-CITY,80+,9476,25
2021-07-27,PORCUPINE,80+,3632,4
2021-07-27,RENFREW COUNTY AND DISTRICT,80+,6453,3
2021-07-27,SIMCOE MUSKOKA DISTRICT,80+,30142,71
2021-07-27,SOUTHWESTERN,80+,10908,58
2021-07-27,SUDBURY AND DISTRICT,80+,10028,20
2021-07-27,THUNDER BAY DISTRICT,80+,7894,13
2021-07-27,TIMISKAMING,80+,1974,0
2021-07-27,TORONTO,80+,144579,412
2021-07-27,WATERLOO REGION,80+,22488,61
2021-07-27,WELLINGTON-DUFFERIN-GUELPH,80+,12749,15
2021-07-27,WINDSOR-ESSEX COUNTY,80+,20462,31
2021-07-27,YORK REGION,80+,48390,87
2021-07-28,ALGOMA DISTRICT,12-17yrs,6504,200
2021-07-28,BRANT COUNTY,12-17yrs,10734,363
2021-07-28,CHATHAM-KENT,12-17yrs,7233,12
2021-07-28,CITY OF HAMILTON,12-17yrs,37018,448
2021-07-28,CITY OF OTTAWA,12-17yrs,66222,875
2021-07-28,DURHAM REGION,12-17yrs,51038,1430
2021-07-28,EASTERN ONTARIO,12-17yrs,13423,306
2021-07-28,GREY BRUCE,12-17yrs,10179,122
2021-07-28,HALDIMAND-NORFOLK,12-17yrs,7138,58
2021-07-28,HALIBURTON KAWARTHA PINE RIDGE,12-17yrs,10093,135
2021-07-28,HALTON REGION,12-17yrs,49248,913
2021-07-28,HASTINGS & PRINCE EDWARD COUNTIES,12-17yrs,9953,108
2021-07-28,HURON PERTH,12-17yrs,9790,557
2021-07-28,KINGSTON FRONTENAC LENNOX & ADDINGTON,12-17yrs,11803,405
2021-07-28,LAMBTON COUNTY,12-17yrs,8280,177
2021-07-28,LEEDS GRENVILLE AND LANARK DISTRICT,12-17yrs,10477,210
2021-07-28,MIDDLESEX-LONDON,12-17yrs,31735,782
2021-07-28,NIAGARA REGION,12-17yrs,28353,277
2021-07-28,NORTH BAY PARRY SOUND DISTRICT,12-17yrs,7244,44
2021-07-28,NORTHWESTERN,12-17yrs,6670,246
2021-07-28,PEEL REGION,12-17yrs,118974,1206
2021-07-28,PETERBOROUGH COUNTY-CITY,12-17yrs,8041,100
2021-07-28,PORCUPINE,12-17yrs,5754,81
2021-07-28,RENFREW COUNTY AND DISTRICT,12-17yrs,6329,113
2021-07-28,SIMCOE MUSKOKA DISTRICT,12-17yrs,37614,542
2021-07-28,SOUTHWESTERN,12-17yrs,15337,269
2021-07-28,SUDBURY AND DISTRICT,12-17yrs,11889,330
2021-07-28,THUNDER BAY DISTRICT,12-17yrs,9043,195
2021-07-28,TIMISKAMING,12-17yrs,1897,73
2021-07-28,TORONTO,12-17yrs,162546,1417
2021-07-28,WATERLOO REGION,12-17yrs,40049,625
2021-07-28,WELLINGTON-DUFFERIN-GUELPH,12-17yrs,21168,530
2021-07-28,WINDSOR-ESSEX COUNTY,12-17yrs,29770,377
2021-07-28,YORK REGION,12-17yrs,89973,922
2021-07-28,ALGOMA DISTRICT,18-29yrs,15509,166
2021-07-28,BRANT COUNTY,18-29yrs,24059,260
2021-07-28,CHATHAM-KENT,18-29yrs,14984,82
2021-07-28,CITY OF HAMILTON,18-29yrs,100237,676
2021-07-28,CITY OF OTTAWA,18-29yrs,186587,1282
2021-07-28,DURHAM REGION,18-29yrs,114063,1245
2021-07-28,EASTERN ONTARIO,18-29yrs,27830,577
2021-07-28,GREY BRUCE,18-29yrs,22126,161
2021-07-28,HALDIMAND-NORFOLK,18-29yrs,15900,99
2021-07-28,HALIBURTON KAWARTHA PINE RIDGE,18-29yrs,22520,225
2021-07-28,HALTON REGION,18-29yrs,95648,1300
2021-07-28,HASTINGS & PRINCE EDWARD COUNTIES,18-29yrs,22375,219
2021-07-28,HURON PERTH,18-29yrs,20393,463
2021-07-28,KINGSTON FRONTENAC LENNOX & ADDINGTON,18-29yrs,34068,386
2021-07-28,LAMBTON COUNTY,18-29yrs,18558,225
2021-07-28,LEEDS GRENVILLE AND LANARK DISTRICT,18-29yrs,21695,294
2021-07-28,MIDDLESEX-LONDON,18-29yrs,88180,992
2021-07-28,NIAGARA REGION,18-29yrs,70592,491
2021-07-28,NORTH BAY PARRY SOUND DISTRICT,18-29yrs,17552,92
2021-07-28,NORTHWESTERN,18-29yrs,13990,92
2021-07-28,PEEL REGION,18-29yrs,278974,2326
2021-07-28,PETERBOROUGH COUNTY-CITY,18-29yrs,21688,151
2021-07-28,PORCUPINE,18-29yrs,12232,65
2021-07-28,RENFREW COUNTY AND DISTRICT,18-29yrs,14861,131
2021-07-28,SIMCOE MUSKOKA DISTRICT,18-29yrs,87904,857
2021-07-28,SOUTHWESTERN,18-29yrs,30393,321
2021-07-28,SUDBURY AND DISTRICT,18-29yrs,29436,320
2021-07-28,THUNDER BAY DISTRICT,18-29yrs,22251,220
2021-07-28,TIMISKAMING,18-29yrs,4360,50
2021-07-28,TORONTO,18-29yrs,585930,3217
2021-07-28,WATERLOO REGION,18-29yrs,99244,1206
2021-07-28,WELLINGTON-DUFFERIN-GUELPH,18-29yrs,50230,697
2021-07-28,WINDSOR-ESSEX COUNTY,18-29yrs,72405,566
2021-07-28,YORK REGION,18-29yrs,198762,1066
2021-07-28,ALGOMA DISTRICT,30-39yrs,12062,160
2021-07-28,BRANT COUNTY,30-39yrs,19698,177
2021-07-28,CHATHAM-KENT,30-39yrs,11594,57
2021-07-28,CITY OF HAMILTON,30-39yrs,84056,526
2021-07-28,CITY OF OTTAWA,30-39yrs,158259,1005
2021-07-28,DURHAM REGION,30-39yrs,93632,1090
2021-07-28,EASTERN ONTARIO,30-39yrs,21920,476
2021-07-28,GREY BRUCE,30-39yrs,17931,135
2021-07-28,HALDIMAND-NORFOLK,30-39yrs,11852,82
2021-07-28,HALIBURTON KAWARTHA PINE RIDGE,30-39yrs,17429,193
2021-07-28,HALTON REGION,30-39yrs,80648,1193
2021-07-28,HASTINGS & PRINCE EDWARD COUNTIES,30-39yrs,17863,154
2021-07-28,HURON PERTH,30-39yrs,14728,369
2021-07-28,KINGSTON FRONTENAC LENNOX & ADDINGTON,30-39yrs,29909,266
2021-07-28,LAMBTON COUNTY,30-39yrs,14493,163
2021-07-28,LEEDS GRENVILLE AND LANARK DISTRICT,30-39yrs,16449,224
2021-07-28,MIDDLESEX-LONDON,30-39yrs,73436,609
2021-07-28,NIAGARA REGION,30-39yrs,54175,346
2021-07-28,NORTH BAY PARRY SOUND DISTRICT,30-39yrs,14543,79
2021-07-28,NORTHWESTERN,30-39yrs,9958,54
2021-07-28,PEEL REGION,30-39yrs,235513,1477
2021-07-28,PETERBOROUGH COUNTY-CITY,30-39yrs,18338,99
2021-07-28,PORCUPINE,30-39yrs,9754,50
2021-07-28,RENFREW COUNTY AND DISTRICT,30-39yrs,13489,113
2021-07-28,SIMCOE MUSKOKA DISTRICT,30-39yrs,74380,726
2021-07-28,SOUTHWESTERN,30-39yrs,24409,301
2021-07-28,SUDBURY AND DISTRICT,30-39yrs,24368,265
2021-07-28,THUNDER BAY DISTRICT,30-39yrs,18511,143
2021-07-28,TIMISKAMING,30-39yrs,3297,56
2021-07-28,TORONTO,30-39yrs,528595,2480
2021-07-28,WATERLOO REGION,30-39yrs,84990,808
2021-07-28,WELLINGTON-DUFFERIN-GUELPH,30-39yrs,42188,563
2021-07-28,WINDSOR-ESSEX COUNTY,30-39yrs,48477,410
2021-07-28,YORK REGION,30-39yrs,155115,802
2021-07-28,ALGOMA DISTRICT,40-49yrs,11665,142
2021-07-28,BRANT COUNTY,40-49yrs,18896,183
2021-07-28,CHATHAM-KENT,40-49yrs,11350,63
2021-07-28,CITY OF HAMILTON,40-49yrs,71673,472
2021-07-28,CITY OF OTTAWA,40-49yrs,134815,721
2021-07-28,DURHAM REGION,40-49yrs,93719,896
2021-07-28,EASTERN ONTARIO,40-49yrs,23559,467
2021-07-28,GREY BRUCE,40-49yrs,16555,100
2021-07-28,HALDIMAND-NORFOLK,40-49yrs,11715,77
2021-07-28,HALIBURTON KAWARTHA PINE RIDGE,40-49yrs,17924,161
2021-07-28,HALTON REGION,40-49yrs,88209,1245
2021-07-28,HASTINGS & PRINCE EDWARD COUNTIES,40-49yrs,17924,177
2021-07-28,HURON PERTH,40-49yrs,14709,372
2021-07-28,KINGSTON FRONTENAC LENNOX & ADDINGTON,40-49yrs,24416,230
2021-07-28,LAMBTON COUNTY,40-49yrs,13713,180
2021-07-28,LEEDS GRENVILLE AND LANARK DISTRICT,40-49yrs,18360,186
2021-07-28,MIDDLESEX-LONDON,40-49yrs,59863,514
2021-07-28,NIAGARA REGION,40-49yrs,52093,281
2021-07-28,NORTH BAY PARRY SOUND DISTRICT,40-49yrs,13844,68
2021-07-28,NORTHWESTERN,40-49yrs,9699,61
2021-07-28,PEEL REGION,40-49yrs,220945,1183
